;coef;value
0;aba;-0,0
1;abacaxi;0,0
2;abandono;0,00676492214035995
3;abastecimento;0,43396081989326335
4;abate;0,0
5;abelha;-0,0
6;abelhas;0,0
7;abertura;0,32507182318494243
8;aberturas;-0,0
9;abhf;0,12997790124061054
10;abolição;0,10982526709825749
11;aborígenes;-0,043197098623200744
12;aborígines;-0,12588146608255782
13;abrangência;0,0
14;abrigo;0,10350121273937749
15;abril;0,0
16;abundância;0,0
17;acampamento;-0,0
18;acampamentos;0,022206792213640004
19;acaso;0,0
20;aceitação;0,0
21;acervo;0,1171856466987364
22;acesso;-0,04608896085297497
23;acidente;0,15611908873243913
24;acidentes;0,022435373763611943
25;acontecimento;-0,0
26;acontecimentos;0,16676184086205162
27;acordo;0,09188992365848225
28;acréscimo;0,0
29;acácia;0,0
30;acúmulo;-0,0
31;adaptação;0,0
32;adensamento;0,0
33;adeptos;-0,0
34;adesão;-0,0
35;adjacências;-0,17426427278226464
36;adjetivo;-0,0
37;administrador;0,0
38;administradores;-0,05424691359065018
39;administração;0,020310007645532067
40;administrações;-0,0
41;adminstrativa;0,0
42;admiração;-0,0
43;adobe;0,00540054870629524
44;adobes;0,0
45;adoção;-0,08197824637492414
46;adquirentes;0,023615892847971068
47;adro;-0,01272107592347588
48;adultos;-0,0
49;advento;-0,013773873820990448
50;adversidades;-0,0
51;advogado;0,0
52;advogados;0,0
53;aeronaves;-0,0
54;aeroporto;0,0
55;afastamento;0,0
56;afirmativa;-0,0
57;afirmação;0,03018175240325437
58;afluentes;-0,0
59;afluxo;0,022585091342917234
60;afluência;-0,0
61;aforamento;-0,01666513610131735
62;africanos;-0,09130539639661758
63;agente;0,0
64;agentes;0,0
65;agitação;-0,0
66;aglomerado;-0,20380957401585045
67;aglomerados;0,026315194396546455
68;aglomeração;-0,15705912079423207
69;aglomerações;-0,0
70;agosto;0,2788789071959247
71;agradecimento;0,19949515775118343
72;agricultor;-0,24079713647576062
73;agricultores;0,0539304877198622
74;agricultura;0,12115285842527655
75;agrimensor;0,1844697071526073
76;agrimensores;0,12431037509325814
77;agro;-0,04550241647905775
78;agroindustria;0,0
79;agropecuária;-0,3655466193712806
80;agrovila;0,0625234817014689
81;agrovilas;-0,20413686747320667
82;agrupamento;-0,10114194238672448
83;agrupamentos;-0,18928912785774896
84;agrônomo;-0,08201326338707146
85;agua;-0,1364846566503427
86;aguadas;0,0
87;aguardente;0,04019954092753191
88;agência;-0,04593079930327606
89;agências;-0,0
90;agôsto;0,0
91;aimorés;0,016397221885683797
92;aipim;0,0
93;ajudante;0,14185411509019805
94;ajudantes;0,0
