cod_ibge,latitude,longitude,altitude,dist_cap_uf,dist_cap_fed,area_1920,area_1940,area_1950,area_1960,area_1970,area_1980,area_1985,area_1991,area_1995,area_1998,area_2000,area_2010,temp_media,temp_var,chuva_media,chuva_var
1200013,-9.8277777778,66.8833333333,25,102.9251234313,2160.6434880501,NA,NA,NA,NA,NA,NA,NA,NA,1609,1609.7,1603.2,1807.9,26.0944433333,1.1999999999999993,148.2611166667,234.08889999999997
1200054,-10.9413888889,69.5669444444,239,220.08212212,2404.3129271816,NA,NA,NA,NA,NA,3991,3991,2884.2,2884,2884.2,2872.7,4974.2,24.419696666649997,2.433333333300002,160.3060683333,205.35153000000003
1200104,-11.0161111111,68.7480555556,172,154.3197505133,2315.6798454686,NA,10235,6232,6232,6232,3885,3885,4722.8,4356,4356.4,4338.9,3916.5,24.822225,2.1288899999999984,143.9400033333,215.08446
1200138,-9.8305555556,67.9522222222,50,22.3066472412,2271.3511193913,NA,NA,NA,NA,NA,NA,NA,NA,3397,3397.9,3426.2,3034.8,25.09074,1.7074066666000007,152.98149333335,238.91854666669997
1200179,-10.5727777778,67.6755555556,40,67.7712977044,2216.8410537446,NA,NA,NA,NA,NA,NA,NA,NA,1724,1724,1717,1702.6,25.92666666665,1.4533333333000016,152.12333333335,234.12666666669998
1200203,-7.6311111111,72.67,182,594.218553955,2843.9161412869,40800,29770,31312,31312,31312,24401,24401,22306,7881,7881.5,7848.4,8779.2,25.1652783333,0.98611,157.1117883333,166.20969
1200252,-11.0288888889,68.7413888889,0,154.894873548,2314.597394292,NA,NA,NA,NA,NA,NA,NA,NA,1659,1659.3,1652.6,1654.8,25.65833333335,1.6611133333000012,152.58889,231.1555533334
1200302,-8.1641666667,70.3536111111,153,343.953899615,2583.5852250649,NA,16218,19632,19632,19632,19632,19632,22721.6,22721,22721.6,22627.7,27974.6,25.22058833335,1.5892166667000005,167.29312666665,218.1519466667
1200328,-9.4341666667,71.8838888889,278,451.0543145523,2695.8013318637,NA,NA,NA,NA,NA,NA,NA,NA,6695,6695.5,6668,5357.3,25.0596466667,1.5193000000000012,167.38770999999997,201.79997999999998
1200336,-7.6141666667,72.8958333333,195,617.4732602806,2867.9467370862,NA,NA,NA,NA,NA,6911,6911,7380.2,4692,4692.2,4673.9,5453,25.409998333350003,0.8555566667000001,172.93332833335,161.8355433333
1200344,-8.8388888889,69.2597222222,162,202.8244436618,2444.0513853177,NA,NA,NA,NA,NA,21055,21055,15526.9,9477,9477.2,9438.3,10634.5,24.84655166665,1.9321833332999994,161.31955166665,230.4482966667
1200351,-8.9411111111,72.7916666667,190,558.9066595187,2807.8284663569,NA,NA,NA,NA,NA,NA,NA,NA,7700,7700.6,7668.9,8191.7,25.26527833335,1.3805566667000022,164.10208166665,187.0875033333
1200385,-10.3352777778,67.1855555556,136,79.2065431137,2173.6863417233,NA,NA,NA,NA,NA,2972,2972,3167.1,2055,2055.6,2047.3,1943.2,26.055555,1.3111100000000029,148.88888333334998,233.5444333333
1200393,-8.2686111111,72.7438888889,195,574.2492280617,2827.0602240438,NA,NA,NA,NA,NA,NA,NA,NA,6093,6093.4,6068,6443.9,25.252499999999998,1.1350000000000016,158.43416666665,175.5216666667
1200401,-9.9747222222,67.81,153,0,2251.3880027881,24408,34339,19427,19427,19427,14294,14294,16912.9,NA,9962.4,9877.2,8835.7,25.403570000000002,1.6809533334000015,152.75001,235.77144666659999
1200427,-7.7416666667,72.6361111111,0,585.5333208606,2836.0466564952,NA,NA,NA,NA,NA,NA,NA,NA,3318,3318.5,3304.5,3077,25.2683333333,0.8900000000000006,161.5066666667,160.2
1200435,-9.4327777778,70.4933333333,25,300.5123011807,2550.2723301716,NA,NA,NA,NA,NA,NA,NA,NA,6049,6049.7,6024.9,6145.6,25.04607666665,1.8176466667,163.90784666669998,224.07843999999997
1200450,-10.1522222222,67.7391666667,201,21.1129390368,2237.7513431009,NA,NA,NA,NA,NA,2161,2161,2304.6,1806,1806.4,1799.1,2321.5,25.9533333333,1.360000000000003,150.23666666665,233.7133333333
1200500,-9.0655555556,68.6569444444,150,136.9681182267,2373.0042125858,36003,29453,45750,45750,45750,23051,23051,25296.7,25296,25296.7,25193.8,23751.3,24.76104,2.0545466666000003,155.72858000000002,231.38097333340002
