"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Cód.","Município","Ano"
"Cód.","Município","2001"
"1100015","Alta Floresta D'Oeste (RO)","26919"
"1100023","Ariquemes (RO)","76371"
"1100031","Cabixi (RO)","7501"
"1100049","Cacoal (RO)","73996"
"1100056","Cerejeiras (RO)","18012"
"1100064","Colorado do Oeste (RO)","21421"
"1100072","Corumbiara (RO)","10290"
"1100080","Costa Marques (RO)","10679"
"1100098","Espigão D'Oeste (RO)","25985"
"1100106","Guajará-Mirim (RO)","38679"
"1100114","Jaru (RO)","53150"
"1100122","Ji-Paraná (RO)","107869"
"1100130","Machadinho D'Oeste (RO)","23873"
"1100148","Nova Brasilândia D'Oeste (RO)","17216"
"1100155","Ouro Preto do Oeste (RO)","40836"
"1100189","Pimenta Bueno (RO)","31685"
"1100205","Porto Velho (RO)","342264"
"1100254","Presidente Médici (RO)","26164"
"1100262","Rio Crespo (RO)","3054"
"1100288","Rolim de Moura (RO)","47693"
"1100296","Santa Luzia D'Oeste (RO)","11512"
"1100304","Vilhena (RO)","55513"
"1100320","São Miguel do Guaporé (RO)","25065"
"1100338","Nova Mamoré (RO)","15692"
"1100346","Alvorada D'Oeste (RO)","19770"
"1100379","Alto Alegre dos Parecis (RO)","13153"
"1100403","Alto Paraíso (RO)","13693"
"1100452","Buritis (RO)","28132"
"1100502","Novo Horizonte do Oeste (RO)","12367"
"1100601","Cacaulândia (RO)","5355"
"1100700","Campo Novo de Rondônia (RO)","12633"
"1100809","Candeias do Jamari (RO)","13816"
"1100908","Castanheiras (RO)","4189"
"1100924","Chupinguaia (RO)","5701"
"1100940","Cujubim (RO)","6976"
"1101005","Governador Jorge Teixeira (RO)","14497"
"1101104","Itapuã do Oeste (RO)","7127"
"1101203","Ministro Andreazza (RO)","11321"
"1101302","Mirante da Serra (RO)","13306"
"1101401","Monte Negro (RO)","13217"
"1101435","Nova União (RO)","8438"
"1101450","Parecis (RO)","3545"
"1101468","Pimenteiras do Oeste (RO)","2544"
"1101476","Primavera de Rondônia (RO)","4325"
"1101484","São Felipe D'Oeste (RO)","7088"
"1101492","São Francisco do Guaporé (RO)","11963"
"1101500","Seringueiras (RO)","12409"
"1101559","Teixeirópolis (RO)","5673"
"1101609","Theobroma (RO)","11651"
"1101708","Urupá (RO)","15354"
"1101757","Vale do Anari (RO)","8246"
"1101807","Vale do Paraíso (RO)","9958"
"1200013","Acrelândia (AC)","8237"
"1200054","Assis Brasil (AC)","3564"
"1200104","Brasiléia (AC)","17384"
"1200138","Bujari (AC)","6154"
"1200179","Capixaba (AC)","5561"
"1200203","Cruzeiro do Sul (AC)","69772"
"1200252","Epitaciolândia (AC)","11460"
"1200302","Feijó (AC)","27834"
"1200328","Jordão (AC)","4490"
"1200336","Mâncio Lima (AC)","11471"
"1200344","Manoel Urbano (AC)","6581"
"1200351","Marechal Thaumaturgo (AC)","8321"
"1200385","Plácido de Castro (AC)","15502"
"1200393","Porto Walter (AC)","5368"
"1200401","Rio Branco (AC)","261430"
"1200427","Rodrigues Alves (AC)","8276"
"1200435","Santa Rosa do Purus (AC)","2440"
"1200450","Senador Guiomard (AC)","20330"
"1200500","Sena Madureira (AC)","30052"
"1200609","Tarauacá (AC)","26338"
"1200708","Xapuri (AC)","12111"
"1200807","Porto Acre (AC)","11679"
"1300029","Alvarães (AM)","12596"
"1300060","Amaturá (AM)","7573"
"1300086","Anamã (AM)","6635"
"1300102","Anori (AM)","11602"
"1300144","Apuí (AM)","14866"
"1300201","Atalaia do Norte (AM)","9974"
"1300300","Autazes (AM)","25176"
"1300409","Barcelos (AM)","25728"
"1300508","Barreirinha (AM)","23090"
"1300607","Benjamin Constant (AM)","23813"
"1300631","Beruri (AM)","11475"
"1300680","Boa Vista do Ramos (AM)","11009"
"1300706","Boca do Acre (AM)","27207"
"1300805","Borba (AM)","30043"
"1300839","Caapiranga (AM)","9052"
"1300904","Canutama (AM)","10973"
"1301001","Carauari (AM)","23919"
"1301100","Careiro (AM)","26996"
"1301159","Careiro da Várzea (AM)","17161"
"1301209","Coari (AM)","70608"
"1301308","Codajás (AM)","17945"
"1301407","Eirunepé (AM)","26735"
"1301506","Envira (AM)","19490"
"1301605","Fonte Boa (AM)","33317"
"1301654","Guajará (AM)","13358"
"1301704","Humaitá (AM)","32045"
"1301803","Ipixuna (AM)","15384"
"1301852","Iranduba (AM)","33867"
"1301902","Itacoatiara (AM)","73349"
"1301951","Itamarati (AM)","8327"
"1302009","Itapiranga (AM)","7579"
"1302108","Japurá (AM)","10230"
"1302207","Juruá (AM)","7896"
"1302306","Jutaí (AM)","23351"
"1302405","Lábrea (AM)","28425"
"1302504","Manacapuru (AM)","75309"
"1302553","Manaquiri (AM)","12950"
"1302603","Manaus (AM)","1451958"
"1302702","Manicoré (AM)","38059"
"1302801","Maraã (AM)","17679"
"1302900","Maués (AM)","41142"
"1303007","Nhamundá (AM)","15560"
"1303106","Nova Olinda do Norte (AM)","25020"
"1303205","Novo Airão (AM)","9120"
"1303304","Novo Aripuanã (AM)","17777"
"1303403","Parintins (AM)","93883"
"1303502","Pauini (AM)","17156"
"1303536","Presidente Figueiredo (AM)","20568"
"1303569","Rio Preto da Eva (AM)","19739"
"1303601","Santa Isabel do Rio Negro (AM)","9949"
"1303700","Santo Antônio do Içá (AM)","29505"
"1303809","São Gabriel da Cachoeira (AM)","30787"
"1303908","São Paulo de Olivença (AM)","24145"
"1303957","São Sebastião do Uatumã (AM)","7478"
"1304005","Silves (AM)","7972"
"1304062","Tabatinga (AM)","38922"
"1304104","Tapauá (AM)","21198"
"1304203","Tefé (AM)","65697"
"1304237","Tonantins (AM)","16178"
"1304260","Uarini (AM)","10883"
"1304302","Urucará (AM)","19240"
"1304401","Urucurituba (AM)","11572"
"1400027","Amajari (RR)","5455"
"1400050","Alto Alegre (RR)","18706"
"1400100","Boa Vista (RR)","208514"
"1400159","Bonfim (RR)","9985"
"1400175","Cantá (RR)","8922"
"1400209","Caracaraí (RR)","14910"
"1400233","Caroebe (RR)","5775"
"1400282","Iracema (RR)","5027"
"1400308","Mucajaí (RR)","11271"
